"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<16,5>--<16,18>)","Fun(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<22,3>--<32,3>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<23,15>--<23,65>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2053,1>--<2053,42>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<23,40>--<23,58>)","Fun(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<47,3>--<53,3>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<24,9>--<24,26>)","Fun(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/fileAttr.js:<45,3>--<49,3>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<24,9>--<24,26>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2081,25>--<2081,40>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<24,9>--<24,26>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es5.js:<255,18>--<255,62>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<25,21>--<25,63>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1900,28>--<1900,61>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<25,21>--<25,39>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1877,26>--<1877,44>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<28,56>--<28,71>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<658,25>--<658,55>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<28,56>--<28,71>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1921,26>--<1921,52>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<28,56>--<28,71>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<307,31>--<307,57>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<28,56>--<28,71>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<527,30>--<527,60>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<28,56>--<28,71>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1514,30>--<1514,52>)"
"Callee(/home/osboxes/desynchronizer/abecms/src/cli/cms/data/attr.js:<39,14>--<42,7>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1900,28>--<1900,61>)"
