"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<17,21>--<17,88>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,26>--<730,90>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<17,21>--<17,88>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<489,31>--<489,95>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<20,7>--<20,46>)","Fun(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<24,3>--<36,3>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<27,27>--<27,85>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<107,17>--<107,37>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<27,27>--<27,85>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<181,23>--<181,43>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<27,27>--<27,85>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<256,23>--<256,43>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<27,41>--<27,53>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<877,32>--<877,44>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<658,25>--<658,55>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1921,26>--<1921,52>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<307,31>--<307,57>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<527,30>--<527,60>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1514,30>--<1514,52>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<28,25>--<28,46>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1939,26>--<1939,62>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<30,23>--<30,97>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<582,26>--<582,46>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<30,23>--<30,97>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1778,27>--<1778,47>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<30,77>--<30,96>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<658,25>--<658,55>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<30,77>--<30,96>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1921,26>--<1921,52>)"
"Callee(/home/osboxes/desynchronizer/abigail-plugin-parse/src/Script.js:<30,77>--<30,96>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<307,31>--<307,57>)"
