"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/bonescript/src/bonescript.js:<11,12>--<11,25>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2222,1>--<2222,50>)"
"Callee(/home/osboxes/desynchronizer/bonescript/src/bonescript.js:<11,12>--<11,25>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<45,1>--<45,19>)"
"Callee(/home/osboxes/desynchronizer/bonescript/src/bonescript.js:<18,2>--<39,3>)","Fun(/home/osboxes/desynchronizer/bonescript/src/bonescript.js:<18,2>--<39,1>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<47,1>--<47,7>)","Fun(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<55,1>--<60,1>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<48,1>--<48,28>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<143,19>--<143,53>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<48,1>--<48,28>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<151,19>--<151,75>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<49,1>--<49,28>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<143,19>--<143,53>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<49,1>--<49,28>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<151,19>--<151,75>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<50,1>--<50,27>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<143,19>--<143,53>)"
"Callee(/home/osboxes/desynchronizer/bonescript/test/TODO/bacon_test.js:<50,1>--<50,27>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<151,19>--<151,75>)"
