"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1105,43>--<1105,52>)","Fun(/home/osboxes/desynchronizer/consola/test/consola.test.js:<61,22>--<63,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<30,35>--<30,38>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<2,13>--<5,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<3,33>--<106,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/desynchronizer/consola/test/consola.test.js:<3,21>--<58,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<1,21>--<48,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<4,35>--<44,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<46,31>--<74,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<76,47>--<84,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<86,52>--<94,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<96,52>--<105,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/consola.test.js:<4,25>--<12,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/consola.test.js:<14,47>--<34,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/consola.test.js:<36,44>--<57,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<7,42>--<13,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<15,53>--<24,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<26,58>--<33,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<45,36>--<45,39>)","Fun(/home/osboxes/desynchronizer/consola/test/require.test.js:<35,58>--<47,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<715,54>--<715,57>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<7,7>--<9,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<715,54>--<715,57>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<48,7>--<51,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<715,54>--<715,57>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<77,21>--<77,20>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<715,54>--<715,57>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<87,21>--<87,20>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<715,54>--<715,57>)","Fun(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<99,41>--<99,40>)"
"Callee(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<3,1>--<106,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/bdd.js:<51,1>--<51,26>)"
"Callee(/home/osboxes/desynchronizer/consola/test/assign-reference.test.js:<3,1>--<106,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,1>--<38,37>)"
