"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<299,15>--<299,27>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<18,1>--<22,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<300,21>--<300,33>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<18,1>--<22,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<301,22>--<301,34>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<18,1>--<22,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<302,19>--<302,31>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<18,1>--<22,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<320,17>--<320,31>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<321,16>--<321,30>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<322,13>--<322,27>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<323,16>--<323,30>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<324,20>--<324,34>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<325,24>--<325,38>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/firefox-apis.js:<12,1>--<16,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<121,21>--<121,33>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<122,23>--<122,35>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<123,20>--<123,32>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<124,23>--<124,35>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<125,20>--<125,32>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<126,14>--<126,26>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<127,25>--<127,37>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<128,13>--<128,25>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<129,16>--<129,28>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<130,33>--<130,45>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<133,19>--<133,31>)","Fun(/home/osboxes/desynchronizer/crx2ff/libs/manifest-checker.js:<15,1>--<19,1>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/utils/filter.js:<16,13>--<16,55>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/libs/utils/filter.js:<16,13>--<16,55>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/test/filter.js:<5,1>--<18,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2081,25>--<2081,40>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/test/filter.js:<20,1>--<27,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2081,25>--<2081,40>)"
"Callee(/home/osboxes/desynchronizer/crx2ff/test/filter.js:<29,1>--<36,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2081,25>--<2081,40>)"
