"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<366,35>--<368,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/scripts/test/matchers/event.js:<48,13>--<48,50>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/scripts/test/matchers/order.js:<4,13>--<4,47>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<168,7>--<168,64>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<171,7>--<171,64>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<230,48>--<230,95>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<233,40>--<233,88>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<261,48>--<261,95>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<264,40>--<264,88>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<288,46>--<288,91>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<380,45>--<382,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Sensors/Sensor/Sensor.js:<101,46>--<101,91>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/draggable/src/Draggable/Draggable.js:<216,27>--<216,53>)"
