"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<17,19>--<20,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<754,72>--<754,81>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<129,5>--<136,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<70,48>--<70,118>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<123,5>--<127,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/static.js:<34,24>--<36,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/drakov/lib/query-comparator.js:<18,22>--<37,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<115,57>--<117,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<3,35>--<5,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<13,14>--<15,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<376,77>--<376,86>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<129,5>--<136,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<70,48>--<70,118>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<123,5>--<127,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/static.js:<34,24>--<36,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/desynchronizer/drakov/lib/query-comparator.js:<18,22>--<37,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/desynchronizer/drakov/lib/content.js:<115,57>--<117,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<3,35>--<5,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<13,14>--<15,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<489,83>--<489,92>)","Fun(/home/osboxes/desynchronizer/drakov/lib/middleware/endpoint-sorter.js:<17,19>--<20,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<26,31>--<26,34>)","Fun(/home/osboxes/desynchronizer/drakov/test/api/content-type-test.js:<9,11>--<11,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<26,31>--<26,34>)","Fun(/home/osboxes/desynchronizer/drakov/test/api/cors-test.js:<11,15>--<13,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<26,31>--<26,34>)","Fun(/home/osboxes/desynchronizer/drakov/test/api/cors-test.js:<27,15>--<29,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<26,31>--<26,34>)","Fun(/home/osboxes/desynchronizer/drakov/test/api/debugger-test.js:<13,15>--<15,9>)"
