"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<34,23>--<36,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/dummy/app/router.js:<8,12>--<9,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<34,23>--<36,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/dummy/app/router.js:<8,12>--<9,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<23,13>--<25,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<33,43>--<37,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<50,13>--<57,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<65,13>--<72,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<75,23>--<87,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<79,13>--<86,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<89,21>--<91,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<92,15>--<94,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<112,15>--<115,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<128,15>--<130,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<141,15>--<143,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<158,15>--<166,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<160,19>--<163,13>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,92>--<1093,108>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<177,42>--<179,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,130>--<1093,145>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<94,12>--<96,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,130>--<1093,145>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<115,12>--<117,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,130>--<1093,145>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<130,12>--<132,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,130>--<1093,145>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<143,12>--<147,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,130>--<1093,145>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<163,16>--<165,13>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<23,13>--<25,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<33,43>--<37,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<50,13>--<57,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<65,13>--<72,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<75,23>--<87,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<79,13>--<86,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/lib/redis-index-adapter.js:<89,21>--<91,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<92,15>--<94,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<112,15>--<115,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<128,15>--<130,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<141,15>--<143,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<158,15>--<166,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<160,19>--<163,13>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,90>--<1184,106>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<177,42>--<179,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,128>--<1184,143>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<94,12>--<96,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,128>--<1184,143>)","Fun(/home/osboxes/desynchronizer/ember-cli-deploy-redis-index-adapter/tests/unit/redis-index-adapter-nodetest.js:<115,12>--<117,9>)"
