"sourceNode","targetNode"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<56,24>--<56,51>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<109,21>--<328,1>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<56,24>--<56,51>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<498,27>--<498,47>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<57,7>--<57,60>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<44,29>--<44,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<57,7>--<57,60>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<104,19>--<104,82>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<62,18>--<62,41>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<44,29>--<44,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<62,18>--<62,41>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<104,19>--<104,82>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,11>--<68,79>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<44,29>--<44,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,11>--<68,79>)","Fun(/home/osboxes/HackMyResume/src/cli/error.js:<104,19>--<104,82>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<455,29>--<455,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<549,31>--<549,43>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<705,28>--<705,40>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<943,30>--<943,42>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<998,29>--<998,50>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1688,27>--<1688,39>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2030,29>--<2030,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2089,29>--<2089,41>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<579,33>--<579,45>)"
"Callee(/home/osboxes/HackMyResume/src/cli/error.js:<68,51>--<68,75>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1477,33>--<1477,65>)"
