"sourceNode","targetNode"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<9,17>--<9,106>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<52,17>--<54,55>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/color-conversion.test.js:<85,20>--<102,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<18,39>--<23,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<37,39>--<42,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<57,37>--<62,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<10,18>--<39,9>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<56,18>--<82,9>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<57,27>--<81,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/node-blend/index.js:<16,28>--<18,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<9,17>--<9,106>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<52,17>--<54,55>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/color-conversion.test.js:<85,20>--<102,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<18,39>--<23,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<37,39>--<42,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/parse-string.test.js:<57,37>--<62,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<10,18>--<39,9>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/node-blend/test/tint.test.js:<56,18>--<82,9>)"
