"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<754,72>--<754,81>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/Controller.test.ts:<38,21>--<38,69>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<754,72>--<754,81>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/hooks/useTrail.test.tsx:<33,28>--<33,58>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<754,72>--<754,81>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/hooks/useTrail.test.tsx:<38,28>--<38,57>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/SpringContext.test.tsx:<36,34>--<44,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/test/setup.ts:<113,42>--<118,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/Controller.test.ts:<36,32>--<36,63>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/hooks/useSprings.test.tsx:<107,24>--<113,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/hooks/useTrail.test.tsx:<32,35>--<32,65>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<376,77>--<376,86>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/Controller.test.ts:<38,21>--<38,69>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<376,77>--<376,86>)","Fun(/home/osboxes/desynchronizer/react-spring/packages/core/src/hooks/useTrail.test.tsx:<33,28>--<33,58>)"
