"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/helpers/extensionDescriptorPaths.js:<36,3>--<36,55>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/helpers/getExtensionDescriptors.js:<24,36>--<34,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/helpers/extensionDescriptorPaths.js:<36,3>--<36,55>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/helpers/getExtensionDescriptors.js:<24,36>--<34,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/express.js:<21,1>--<25,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es5.js:<111,25>--<111,58>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/express.js:<21,1>--<25,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1435,26>--<1435,69>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/fs.js:<1371,54>--<1371,63>)","Fun(/home/osboxes/reactor-sandbox/src/helpers/executeSandboxComponents.js:<24,20>--<26,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/fs.js:<1371,54>--<1371,63>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/run.js:<45,33>--<48,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/fs.js:<1379,55>--<1379,64>)","Fun(/home/osboxes/reactor-sandbox/src/helpers/executeSandboxComponents.js:<24,20>--<26,3>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/fs.js:<1379,55>--<1379,64>)","Fun(/home/osboxes/reactor-sandbox/src/tasks/run.js:<45,33>--<48,1>)"
"Callee(/home/osboxes/reactor-sandbox/src/helpers/executeSandboxComponents.js:<16,13>--<16,57>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<595,24>--<595,49>)"
"Callee(/home/osboxes/reactor-sandbox/src/helpers/executeSandboxComponents.js:<16,13>--<16,57>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<450,29>--<450,54>)"
