"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<7,1>--<20,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/bdd.js:<51,1>--<51,26>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<7,1>--<20,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,1>--<38,37>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<9,3>--<13,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/bdd.js:<39,1>--<39,24>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<9,3>--<13,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<32,1>--<32,38>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<14,3>--<16,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/bdd.js:<63,1>--<63,20>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<14,3>--<16,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<53,1>--<53,40>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<17,3>--<19,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/bdd.js:<63,1>--<63,20>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<17,3>--<19,4>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<53,1>--<53,40>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/benchmark/web-dsp/demo/test/test.js:<18,5>--<18,52>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/assert.js:<45,16>--<45,42>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/load-test.html:<8,9>--<8,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/load-test.html:<8,9>--<8,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/load-test.html:<8,9>--<8,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.asm.html:<16,5>--<16,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.asm.html:<16,5>--<16,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.asm.html:<16,5>--<16,40>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.wasm.html:<14,13>--<20,14>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1093,28>--<1093,148>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.wasm.html:<14,13>--<20,14>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1184,26>--<1184,146>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.wasm.html:<14,13>--<14,42>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2064,28>--<2064,58>)"
"Callee(/home/osboxes/desynchronizer/TurboScript/debug/test.wasm.html:<17,17>--<17,46>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
