"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/Page.js:<248,30>--<253,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/build/index.js:<82,15>--<82,55>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/plugin-search/match-query.js:<27,13>--<27,24>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/App.js:<205,36>--<217,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/App.js:<432,36>--<434,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/__tests__/plugin-api/PluginAPI.spec.js:<23,15>--<29,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/__tests__/plugin-api/PluginAPI.spec.js:<36,15>--<42,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/__tests__/plugin-api/PluginAPI.spec.js:<50,15>--<54,5>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/loadConfig.js:<54,38>--<58,7>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/vuepress/packages/@vuepress/core/lib/node/loadConfig.js:<55,33>--<57,9>)"
