"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/yadda/lib/shims/karma-fs.js:<76,51>--<80,13>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/yadda/lib/shims/karma-fs.js:<103,32>--<105,13>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/desynchronizer/yadda/lib/shims/phantom-fs.js:<11,37>--<13,9>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/casper/test.js:<20,46>--<37,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/context/test.js:<8,46>--<44,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/data-tables/test.js:<8,46>--<22,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/dictionary/test.js:<8,46>--<21,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/localisation/test.js:<9,46>--<21,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/mocha-async/test.js:<8,46>--<21,1>)"
"Callee(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/desynchronizer/yadda/examples/mocha-async-slp/test.js:<8,46>--<19,1>)"
