"sourceNode","targetNode"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<1,14>--<1,40>)","Fun(/home/osboxes/desynchronizer/apps/lib/raw-app-list.js:<5,18>--<25,1>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<4,18>--<10,2>)","Fun(/home/osboxes/desynchronizer/apps/wizard.js:<62,13>--<64,5>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<4,18>--<10,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,26>--<765,85>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<4,18>--<10,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<858,16>--<858,80>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<4,18>--<10,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,31>--<397,90>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/apps-with-github-repos.js:<4,18>--<10,2>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<903,27>--<903,43>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<8,16>--<8,38>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<113,16>--<113,29>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<8,16>--<8,38>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<187,22>--<187,35>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<8,16>--<8,38>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<262,22>--<262,35>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es2017.js:<16,17>--<16,32>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<563,31>--<563,43>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1389,17>--<1389,32>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1854,31>--<1854,43>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/web/fetchapi.js:<99,28>--<99,40>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/web/w3c_midi.js:<68,33>--<68,53>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,18>--<15,45>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/web/w3c_midi.js:<113,34>--<113,54>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<15,32>--<15,44>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<643,25>--<643,37>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,5>--<16,36>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<619,24>--<619,44>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,5>--<16,36>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/stream.js:<161,36>--<161,63>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,5>--<16,36>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/stream.js:<834,37>--<834,64>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,18>--<16,35>)","Fun(/home/osboxes/desynchronizer/apps/wizard.js:<62,13>--<64,5>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,18>--<16,35>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,26>--<765,85>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,18>--<16,35>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<858,16>--<858,80>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,18>--<16,35>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,31>--<397,90>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<16,18>--<16,35>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<903,27>--<903,43>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<17,5>--<17,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<619,24>--<619,44>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<17,5>--<17,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/stream.js:<161,36>--<161,63>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<17,5>--<17,60>)","Fun(/home/osboxes/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/stream.js:<834,37>--<834,64>)"
"Callee(/home/osboxes/desynchronizer/apps/lib/broken-links.js:<17,19>--<17,59>)","Fun(/home/osboxes/desynchronizer/apps/wizard.js:<62,13>--<64,5>)"
