"sourceNode","targetNode"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/esdoc/src/Doc/ClassDoc.js:<97,38>--<97,71>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<287,36>--<287,65>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<300,31>--<300,99>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<311,24>--<311,66>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/esdoc/test/integration-test/src/_Misc/Duplication.test.js:<5,37>--<5,111>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<39,42>--<39,61>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<40,42>--<40,61>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<302,29>--<302,44>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<822,71>--<822,80>)","Fun(/home/osboxes/esdoc/src/Parser/ParamParser.js:<139,27>--<139,33>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/esdoc/src/Doc/ClassDoc.js:<97,38>--<97,71>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<287,36>--<287,65>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<300,31>--<300,99>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<311,24>--<311,66>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<397,78>--<397,87>)","Fun(/home/osboxes/esdoc/test/integration-test/src/_Misc/Duplication.test.js:<5,37>--<5,111>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/src/Doc/VariableDoc.js:<30,72>--<30,77>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<294,41>--<294,109>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/test/integration-test/plugin/MyPlugin1.js:<44,33>--<44,80>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/test/integration-test/plugin/MyPlugin1.js:<53,25>--<53,80>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/test/integration-test/util.js:<5,29>--<8,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<406,76>--<406,85>)","Fun(/home/osboxes/esdoc/test/integration-test/util.js:<13,37>--<16,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<39,42>--<39,61>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<40,42>--<40,61>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<479,75>--<479,84>)","Fun(/home/osboxes/esdoc/src/ESDoc.js:<302,29>--<302,44>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<536,76>--<536,85>)","Fun(/home/osboxes/esdoc/src/Parser/ParamParser.js:<139,27>--<139,33>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/README.test.js:<4,28>--<10,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/package.test.js:<4,32>--<11,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/plugin/MyPlugin1.test.js:<5,36>--<33,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/plugin/MyPlugin2.test.js:<3,36>--<18,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Abstract/Abstract.test.js:<4,36>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Access/Class.test.js:<4,32>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Access/Function.test.js:<4,35>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Access/Member.test.js:<4,33>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Access/Method.test.js:<4,33>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Access/Variable.test.js:<4,35>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Async/Async.test.js:<4,31>--<14,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Deprecated/Deprecated.test.js:<4,40>--<29,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Desc/Desc.test.js:<4,29>--<54,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Emits/Emits.test.js:<4,31>--<28,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Example/Example.test.js:<4,35>--<12,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Experimental/Experimental.test.js:<4,45>--<14,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/Anonymous/Class.test.js:<4,42>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/Anonymous/Function.test.js:<4,45>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/ArrowFunction.test.js:<4,40>--<32,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/Class.test.js:<4,32>--<39,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/Extends/Class.test.js:<4,39>--<14,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/Function.test.js:<4,35>--<44,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/IndirectDefault/Class.test.js:<4,48>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/IndirectDefault/Function.test.js:<4,51>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/IndirectDefault/Variable.test.js:<4,51>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/NewExpression/Class.test.js:<4,46>--<24,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/NewExpression/WithIndirectExport.test.js:<4,58>--<9,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<38,31>--<38,34>)","Fun(/home/osboxes/esdoc/test/integration-test/src/Export/NewExpression/WithObjectProperty.test.js:<4,59>--<9,1>)"
