"sourceNode","targetNode"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/motiv-ex/server.js:<8,20>--<10,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<183,1>--<183,9>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<35,3>--<35,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<424,79>--<424,88>)","Fun(/home/osboxes/motiv-ex/server.js:<8,20>--<10,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<625,1>--<625,12>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<659,1>--<659,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<693,1>--<693,20>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<736,1>--<736,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<770,1>--<770,14>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<804,1>--<804,13>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<838,1>--<838,14>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<872,1>--<872,15>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<906,1>--<906,15>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1201,1>--<1201,8>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<28,3>--<28,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1479,1>--<1479,11>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6_collections.js:<69,1>--<69,17>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6_collections.js:<132,1>--<132,21>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6_collections.js:<193,1>--<193,17>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6_collections.js:<251,1>--<251,21>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<390,1>--<390,30>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<849,1>--<849,28>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<36,3>--<36,16>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<1002,1>--<1002,20>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<32,3>--<32,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<1103,1>--<1103,19>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<35,3>--<35,13>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<1406,1>--<1406,20>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<77,3>--<77,15>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/jquery-3.2.js:<1406,1>--<1406,20>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<25,3>--<25,14>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<108,1>--<112,2>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es5.js:<111,25>--<111,58>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<108,1>--<112,2>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1435,26>--<1435,69>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<109,28>--<109,57>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<16,1>--<16,23>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<109,35>--<109,48>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<472,28>--<472,40>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/lib/should.js:<109,35>--<109,48>)","Fun(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<951,29>--<951,41>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/nodejs/http.js:<614,55>--<614,64>)","Fun(/home/osboxes/motiv-ex/server.js:<16,29>--<19,1>)"
