"sourceNode","targetNode"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<67,11>--<67,33>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/nvs/lib/settings.js:<147,11>--<147,33>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<730,78>--<730,87>)","Fun(/home/osboxes/nvs/lib/settings.js:<203,11>--<203,33>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/addRemove.js:<46,5>--<46,66>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/addRemove.js:<125,56>--<127,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/link.js:<367,74>--<367,85>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<36,28>--<36,69>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<39,12>--<39,67>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<74,41>--<74,60>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<77,46>--<77,57>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<79,46>--<79,68>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<81,46>--<81,59>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<83,46>--<83,59>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<121,38>--<121,65>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<126,45>--<126,72>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<371,16>--<371,21>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<547,15>--<547,20>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/list.js:<614,12>--<614,17>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<58,11>--<58,53>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/home/osboxes/nvs/lib/upgrade.js:<34,48>--<35,70>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/addRemove.js:<142,22>--<146,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/addRemove.js:<161,38>--<166,4>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/addRemove.js:<280,21>--<288,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/download.js:<134,22>--<140,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/link.js:<281,46>--<300,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/link.js:<301,45>--<307,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/link.js:<309,38>--<313,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/link.js:<337,30>--<350,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/link.js:<453,41>--<460,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<154,40>--<162,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<164,19>--<167,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<187,22>--<193,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<197,22>--<203,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<208,22>--<214,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/list.js:<409,24>--<488,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/migrate.js:<59,36>--<75,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/migrate.js:<66,61>--<72,5>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/postScript.js:<34,19>--<40,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/postScript.js:<42,19>--<48,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/postScript.js:<50,19>--<61,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/settings.js:<35,39>--<37,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/settings.js:<41,39>--<43,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/use.js:<69,42>--<76,4>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/lib/use.js:<150,42>--<157,4>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/home/osboxes/nvs/test/mocks/fs.js:<198,33>--<205,4>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<36,8>--<36,18>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<102,22>--<102,66>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<117,8>--<133,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<263,23>--<263,67>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<322,29>--<329,3>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<391,1>--<499,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<567,1>--<624,1>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/list.js:<591,36>--<614,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<15,54>--<29,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<66,8>--<66,26>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<70,34>--<78,2>)"
"Callee(/home/osboxes/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<811,70>--<811,79>)","Fun(/home/osboxes/nvs/lib/mainMenu.js:<98,30>--<104,3>)"
