"sourceNode","targetNode"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/assetManagement/index.js:<48,9>--<48,91>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/assetManagement/index.js:<48,9>--<48,91>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/assetManagement/views/assetManagementCollectionView.js:<103,11>--<103,28>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/assetManagement/views/assetManagementCollectionView.js:<103,11>--<103,28>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/contentPane/views/contentPaneView.js:<36,9>--<36,96>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/contentPane/views/contentPaneView.js:<36,9>--<36,96>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/contentObject/views/editorPageComponentView.js:<64,11>--<64,33>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1936,27>--<1936,62>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/contentObject/views/editorPageComponentView.js:<64,11>--<64,33>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1942,27>--<1942,47>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/contentObject/views/editorPageView.js:<148,25>--<148,93>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/contentObject/views/editorPageView.js:<148,25>--<148,93>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/extensions/views/editorExtensionsEditView.js:<107,16>--<107,54>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/extensions/views/editorExtensionsEditView.js:<107,16>--<107,54>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/themeEditor/views/editorThemingView.js:<83,9>--<83,22>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/editor/themeEditor/views/editorThemingView.js:<83,9>--<83,22>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<18,20>--<18,79>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<18,20>--<18,79>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<37,20>--<37,78>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<37,20>--<37,78>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<45,20>--<45,103>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/globalMenu/index.js:<45,20>--<45,103>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/notify/plugins/console/index.js:<7,31>--<7,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/notify/plugins/console/index.js:<7,31>--<7,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/projects/index.js:<58,9>--<58,91>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/projects/index.js:<58,9>--<58,91>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<99,9>--<101,33>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<99,9>--<101,33>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<267,7>--<267,80>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<267,7>--<267,80>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<275,14>--<275,69>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<275,14>--<275,69>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<279,7>--<279,83>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<279,7>--<279,83>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<287,7>--<287,70>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/scaffold/index.js:<287,7>--<287,70>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/sidebar/index.js:<16,18>--<16,121>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/adapt_authoring/frontend/src/modules/sidebar/index.js:<16,18>--<16,121>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/adapt_authoring/lib/application.js:<57,1>--<57,40>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/util.js:<149,17>--<149,58>)"
"Callee(/root/desynchronizer/adapt_authoring/lib/application.js:<66,17>--<66,48>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<595,24>--<595,49>)"
