"sourceNode","targetNode"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<29,18>--<29,46>)","Fun(/root/desynchronizer/a11y-metrics/lib/cache.js:<43,25>--<55,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/a11y-metrics/lib/cache.js:<18,15>--<37,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1453,15>--<1453,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<119,8>--<119,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<147,8>--<147,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<194,8>--<194,58>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<31,10>--<59,4>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/http.js:<614,12>--<614,67>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<32,5>--<32,60>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<32,5>--<32,60>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<32,5>--<32,60>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/a11y-metrics/lib/cache.js:<18,15>--<37,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1453,15>--<1453,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<119,8>--<119,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<147,8>--<147,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<194,8>--<194,58>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<39,11>--<39,30>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/http.js:<614,12>--<614,67>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<55,13>--<55,60>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<2222,1>--<2222,50>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<55,13>--<55,60>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<45,1>--<45,19>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<58,12>--<58,27>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/lib/jest.js:<129,3>--<129,19>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<65,3>--<76,4>)","Fun(/root/desynchronizer/a11y-metrics/lib/run-script.js:<8,18>--<14,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<66,26>--<66,54>)","Fun(/root/desynchronizer/a11y-metrics/lib/webdriver.js:<36,1>--<72,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<67,28>--<67,50>)","Fun(/root/desynchronizer/a11y-metrics/lib/websites.js:<37,1>--<44,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<70,7>--<70,70>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<1117,12>--<1117,25>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<70,7>--<70,70>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1962,25>--<1962,60>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<70,7>--<70,70>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/globals.js:<1968,25>--<1968,45>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<72,13>--<72,49>)","Fun(/root/desynchronizer/a11y-metrics/lib/axe-stats.js:<25,1>--<60,1>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<595,24>--<595,49>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<450,29>--<450,54>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<82,13>--<82,30>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<88,13>--<88,30>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<162,19>--<162,36>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<10,19>--<10,53>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<237,19>--<237,36>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<595,24>--<595,49>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<450,29>--<450,54>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<82,13>--<82,30>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<88,13>--<88,30>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<162,19>--<162,36>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<22,20>--<22,47>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<237,19>--<237,36>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<24,7>--<24,29>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/fs.js:<1311,17>--<1311,33>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<24,7>--<24,29>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/nodejs/path.js:<351,19>--<351,35>)"
"Callee(/root/desynchronizer/a11y-metrics/lib/cache.js:<25,12>--<27,8>)","Fun(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es6.js:<1122,19>--<1122,40>)"
