"sourceNode","targetNode"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/desynchronizer/ember-watson/lib/helpers/find-files.js:<11,39>--<13,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/desynchronizer/ember-watson/lib/watson.js:<50,50>--<52,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/desynchronizer/ember-watson/lib/watson.js:<102,50>--<104,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/desynchronizer/ember-watson/lib/watson.js:<121,52>--<123,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/convert-tests-to-async-await.js:<263,17>--<279,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/convert-tests-to-async-await.js:<266,26>--<268,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/convert-tests-to-async-await.js:<271,19>--<273,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/convert-tests-to-async-await.js:<276,32>--<278,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/find-overloaded-cps.js:<67,25>--<69,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/prototype-extension-transforms.js:<27,1>--<29,1>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/prototype-extension-transforms.js:<31,1>--<33,1>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/prototype-extension-transforms.js:<35,1>--<37,1>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/qunit-transforms.js:<82,52>--<95,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/qunit-transforms.js:<186,28>--<188,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/qunit-transforms.js:<190,26>--<192,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/qunit-transforms.js:<194,26>--<196,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/qunit-transforms.js:<198,31>--<200,3>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/replace-needs-with-injection.js:<56,39>--<58,5>)"
"Callee(/root/desynchronizer/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/desynchronizer/ember-watson/lib/formulas/replace-needs-with-injection.js:<66,17>--<75,3>)"
