"sourceNode","targetNode"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<161,15>--<161,37>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/deepforge/test/unit/plugins/ImportYaml/ImportYaml.spec.js:<171,25>--<171,61>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/deepforge/test/unit/utils/utils.spec.js:<67,45>--<70,21>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<765,73>--<765,82>)","Fun(/root/deepforge/test/unit/utils/utils.spec.js:<113,51>--<113,116>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<24,24>--<41,5>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<46,30>--<48,17>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<86,18>--<155,5>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<139,33>--<142,13>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<177,18>--<206,5>)"
"Callee(/root/codeql-home/codeql/javascript/tools/data/externs/es/es3.js:<776,74>--<776,83>)","Fun(/root/deepforge/src/visualizers/widgets/TextEditor/lib/ace/mode/_test/highlight_rules_test.js:<184,26>--<187,9>)"
